Atividade	Descrição Atividade	Cadencia
Mobilizar marketing para divulgação de processo seletivo	Articulação com a equipe de marketing para criar e executar campanhas de divulgação de vagas abertas em processos seletivos. Garante ampla visibilidade das oportunidades junto ao público-alvo de talentos (alumni, comunidade, mercado) por meio de canais digitais e comunicação institucional.	eventual
Validar integridade do fluxo de vendas ponta a ponta	Validação diária de integridade dos dados em toda a cadeia de vendas, desde o registro da meta até a ativação do aluno. Garante consistência entre planilha de metas, gateway de pagamento (Vindi) e planilha de alunos, assegurando que cada venda seja corretamente processada e que o aluno inicie sua jornada pedagógica sem falhas de dados.	diaria
Cobrança Ativa de Alunos Alumni em Atraso	Contato telefônico semanal com alunos da vertical Alumni que apresentam pendências financeiras. Tem como foco regularizar inadimplências, entender motivos de atraso e negociar acordos de pagamento quando necessário. Atua preventivamente na redução de churn por questões financeiras.	semanal
Emitir Fatura Avulsa para Aluno Contatado	Geração de fatura avulsa para cobrança de alunos que foram previamente contatados pela equipe comercial e confirmaram disposição para pagamento. Garante formalização da dívida e facilita o processo de recebimento de valores em aberto.	eventual
Bloqueio de Contato por Inadimplência Superior a 60 Dias	Gestão de medidas restritivas aplicadas a alunos Alumni com atraso de pagamento superior a 60 dias. Consiste no travamento temporário do contato do aluno na plataforma até regularização financeira, visando reduzir inadimplência prolongada e proteger o fluxo de caixa da operação.	eventual
Prospectar novos alunos B2B via contato direto com RHs	Atividade de prospecção ativa mensal junto a departamentos de Recursos Humanos de empresas-cliente para identificar e incluir novos colaboradores elegíveis nos programas Alumni. Busca expandir a base de alunos B2B através de relacionamento direto com gestores de RH, apresentando valor e facilitando adesão corporativa.	mensal
Analisar e aprovar propostas de parceria B2B	Avaliação técnica, comercial e estratégica de propostas de parceria B2B recebidas de empresas interessadas em contratar soluções da EdTech para seus colaboradores ou ecossistemas. Inclui análise de viabilidade, alinhamento com portfólio e definição de termos contratuais antes da formalização.	eventual
Prospectar leads B2B qualificados via email e LinkedIn	Atividade de prospecção ativa de empresas e decisores interessados em soluções educacionais B2B da Better Edtech. Utiliza canais digitais (email e LinkedIn) para iniciar conversas comerciais, qualificar oportunidades e gerar pipeline de vendas para programas corporativos e parcerias institucionais.	semanal
Acompanhamento Semanal de Saúde B2B	Monitoramento sistemático da saúde de contas e contratos B2B ativos, identificando riscos de churn, oportunidades de expansão e necessidades de intervenção. Garante visibilidade contínua sobre o status de cada cliente corporativo e permite ação proativa do time comercial.	semanal
Planejar e executar eventos B2B para clientes corporativos	Planejamento completo e execução de eventos presenciais ou digitais voltados para clientes corporativos (B2B), incluindo definição de formato, logística, conteúdo e follow-up. Visa fortalecer relacionamento com key accounts, gerar networking qualificado e criar oportunidades de upsell/cross-sell.	eventual
